Obs	Year	Month	Day	Latitude	Longitude	ZonWinds	MerWinds	Humidity	AirTemp	SSTemp
60001	90	11	12	1.96	165	5.7	4.5	74.2	29.07	NaN
60002	90	11	13	1.96	165.01	6.1	3.6	72.7	29.63	NaN
60003	90	11	14	1.96	165.01	6.5	4.9	75	28.39	NaN
60004	90	11	15	1.96	165.01	7.3	2.1	74.2	28.67	NaN
60005	90	11	16	1.96	165	7.2	-1.4	72.7	29.43	NaN
60006	90	11	17	1.96	165.01	6.7	-1.7	79.3	27.67	NaN
60007	90	11	18	1.96	165.01	9.2	1	75.4	28.27	NaN
60008	90	11	19	1.96	165.01	8.9	-2	72.3	29.23	NaN
60009	90	11	20	1.96	165	7.2	-0.3	73	29.19	NaN
60010	90	11	21	1.96	165.01	9.3	0.8	74.6	29.07	NaN
60011	90	11	22	1.96	165.01	10.2	1.4	75	28.31	NaN
60012	90	11	23	1.95	165.02	7.8	-1	75	27.91	NaN
60013	90	11	24	1.95	165	7.3	3.4	71.1	29.23	NaN
60014	90	11	25	1.95	165.01	7	3.8	70.7	29.59	NaN
60015	90	11	26	1.96	165.01	3.6	1.3	69.9	29.39	NaN
60016	90	11	27	1.97	165.01	2.8	-1.5	69.5	29.19	NaN
60017	90	11	28	1.97	165.01	2.1	-1.6	71.9	28.75	NaN
60018	90	11	29	1.96	165.01	1.7	-4	68	29.07	NaN
60019	90	11	30	1.96	165.01	3.3	-2	69.1	29.15	NaN
60020	90	12	1	1.96	165.01	3	3.3	68.8	29.23	NaN
60021	90	12	2	1.96	165.01	3.1	3.5	68	29.15	NaN
60022	90	12	3	1.97	165.01	2	-1.2	68.8	28.99	NaN
60023	90	12	4	1.96	165.01	-0.6	-2.7	66.8	29.03	NaN
60024	90	12	5	1.96	165	-2	-1.8	68	29.07	NaN
60025	90	12	6	1.95	165	-2.2	-0.3	70.3	28.99	NaN
60026	90	12	7	1.96	165	-0.7	-1.5	71.5	28.79	NaN
60027	90	12	8	1.96	165	-0.2	-1.2	68	28.55	NaN
60028	90	12	9	1.96	165.01	0.1	-2.4	67.2	28.91	NaN
60029	90	12	10	1.96	165.01	0.5	-2.5	68.8	29.27	NaN
60030	90	12	11	1.96	165	3	-1.3	75	28.47	NaN
60031	90	12	12	1.97	165.01	3.9	0.9	78.5	28.23	NaN
60032	90	12	13	1.98	165	2.9	-0.5	76.6	28.19	NaN
60033	90	12	14	1.96	165.01	7.1	4.8	78.1	27.19	NaN
60034	90	12	15	1.96	165.01	9.6	6.6	73.4	28.99	NaN
60035	90	12	16	1.96	165.01	4.7	4.8	77.7	27.71	NaN
60036	90	12	17	1.97	165.01	7	1.4	75	28.15	NaN
60037	90	12	18	1.96	165.02	1.9	-4.9	70.7	29.03	NaN
60038	90	12	19	1.97	164.99	-2.2	-3	74.2	28.39	NaN
60039	90	12	20	1.95	165	-5.4	-1.4	71.1	29.15	NaN
60040	90	12	21	1.96	165	-4.2	-3.9	72.3	28.83	NaN
60041	90	12	22	1.97	165	-1.9	-0.4	77.3	26.87	NaN
60042	90	12	23	1.97	164.99	-1	-2.4	69.9	28.11	NaN
60043	90	12	24	1.97	165	-1.5	-1.3	68.8	28.87	NaN
