Obs	Year	Month	Day	Latitude	Longitude	ZonWinds	MerWinds	Humidity	AirTemp	SSTemp
90001	95	2	7	-1.99	-179.91	-1.7	-3.4	78.3	29.33	29.68
90002	95	2	8	-1.99	-179.9	1.1	-2.7	82.1	28.44	29.61
90003	95	2	9	-2	-179.9	-0.8	-1.9	71.9	28.75	29.54
90004	95	2	10	-1.99	-179.9	-1.5	0.4	77.1	28.94	30.13
90005	95	2	11	-2	-179.91	-1.6	-4.3	85.7	27.82	29.71
90006	95	2	12	-2	-179.9	2.6	-0.4	82.5	27.86	29.74
90007	95	2	13	-2	-179.9	0.6	-2.9	80.6	28.52	29.71
90008	95	2	14	-2	-179.88	-0.1	-5.3	80.5	28.75	29.89
90009	95	2	15	-2	-179.9	-0.7	-5.4	81.8	28.52	29.84
90010	95	2	16	-2	-179.89	-2	-3.5	78.1	28.75	29.88
90011	95	2	17	-2	-179.9	-2.8	-2	77.7	28.4	29.72
90012	95	2	18	-1.99	-179.9	-5.3	-2.7	74.1	29.22	29.75
90013	95	2	19	-2	-179.9	-5.2	-1.1	73.1	29.29	29.81
90014	95	2	20	-1.99	-179.9	-2.7	-0.6	76.2	28.91	29.85
90015	95	2	21	-1.99	-179.9	-1.2	-1.8	71.6	29.29	30.05
90016	95	2	22	-2	-179.9	1	-3.2	78.6	28.71	29.75
90017	95	2	23	-2	-179.9	1.5	-0.1	83.2	27.67	29.76
90018	95	2	24	-2	-179.89	2.1	-1.5	82.2	27.67	29.84
90019	95	2	25	-2	-179.89	-2.8	-0.7	77.4	28.75	29.95
90020	95	2	26	-2.01	-179.88	-3.8	-2.3	76.4	29.18	29.85
90021	95	2	27	-2	-179.89	-4	-3.5	76.8	29.22	29.77
90022	95	2	28	-2	-179.9	-5.4	-3.1	75.6	29.33	29.7
90023	95	3	1	-1.99	-179.9	-6	-1	74	29.49	29.7
90024	95	3	2	-1.99	-179.91	-3.8	0.3	77.6	29.02	29.71
90025	95	3	3	-1.99	-179.91	-2	-4.2	80.4	28.52	29.72
90026	95	3	4	-2	-179.9	-5.5	-3.3	77.3	29.25	29.63
90027	95	3	5	-2.01	-179.91	-6.7	-2.2	75.7	29.25	29.5
90028	95	3	6	-2	-179.9	-4.7	-4.9	77.7	29.14	29.33
90029	95	3	7	-2	-179.89	-3.5	-4.7	78	28.98	29.16
90030	95	3	8	-2	-179.9	-5.2	-2.5	76.3	28.79	29.06
90031	95	3	9	-2	-179.9	-4.5	-2	77.5	28.71	28.96
90032	95	3	10	-1.99	-179.91	-2.9	-1.8	78.3	28.56	28.98
90033	95	3	11	-1.99	-179.92	-4.3	-2.8	79.9	28.75	29.04
90034	95	3	12	-1.99	-179.9	-3.3	-4.1	79.2	28.83	29.29
90035	95	3	13	-1.99	-179.9	-5.9	-2.8	78.4	28.87	29.46
90036	95	3	14	-2.01	-179.9	-5.7	-4	76.5	28.75	28.86
90037	95	3	15	-2	-179.91	-3.9	-3.9	79.7	28.6	28.77
90038	95	3	16	-2	-179.91	-2.7	-2.7	79.3	28.48	28.7
90039	95	3	17	-2	-179.91	-3.4	-3.5	77.2	28.67	28.83
90040	95	3	18	-2	-179.9	-2.5	-2.5	78.1	28.63	29.08
90041	95	3	19	-2	-179.9	-0.6	-4.5	79	28.6	29
90042	95	3	20	-1.99	-179.91	-1.9	-1.2	78.8	28.44	29.18
90043	95	3	21	-2.01	-179.9	-3.8	-2.2	74.8	28.91	29.52
90044	95	3	22	-1.99	-179.9	-4.2	-3.2	76.7	29.14	29.73
90045	95	3	23	-1.99	-179.89	-4.8	-0.6	76.9	29.22	29.74
90046	95	3	24	-1.99	-179.9	-4	-2.9	82.1	28.71	29.79
90047	95	3	25	-2	-179.89	-2.9	-4.8	77.2	28.91	29.55
90048	95	3	26	-2	-179.9	-3.2	-2.9	74.6	28.63	29.48
90049	95	3	27	-2	-179.9	-3.9	-4.7	76.7	28.6	29.22
90050	95	3	28	-2	-179.9	-5.6	-5.3	76.9	28.6	28.64
90051	95	3	29	-2	-179.91	-5.4	-2.7	81.3	28.75	28.55
90052	95	3	30	-2	-179.91	-6.2	-2.1	80.7	28.91	28.71
90053	95	3	31	-2	-179.9	-6.1	-2.8	81.3	28.71	28.56
90054	95	4	1	-2	-179.9	-5.4	-3.8	78.9	28.67	28.6
90055	95	4	2	-1.99	-179.91	-3.9	-2.5	80	28.71	28.82
90056	95	4	3	-1.99	-179.91	-3.8	-1.1	78.1	28.94	29.27
90057	95	4	4	-1.99	-179.9	-3.4	-2.9	80.8	28.83	29.35
90058	95	4	5	-2	-179.89	-3.1	-3.7	81.9	28.79	29.17
90059	95	4	6	-2	-179.9	-3.9	-2.8	81.7	28.94	29.01
90060	95	4	7	-1.99	-179.9	-5.4	-0.5	84.2	28.75	29.01
90061	95	4	8	-2	-179.9	-4.4	-1.9	83.9	28.83	29.16
90062	95	4	9	-2	-179.9	-4.8	-3.9	85.3	28.48	29.1
