Obs	Year	Month	Day	Latitude	Longitude	ZonWinds	MerWinds	Humidity	AirTemp	SSTemp
150001	95	7	23	8.97	-153.84	-5	0.2	89.6	26.49	28.36
150002	95	7	24	8.98	-153.86	-6.5	-0.2	86	27.13	28.19
150003	96	1	1	7.97	-154.99	-1.9	1.2	86.1	24.85	27.4
150004	96	1	2	7.98	-155	-2.4	-0.3	86.9	25.37	27.36
150005	96	1	3	7.97	-154.99	-5.9	-2.3	84.8	26.2	27.48
150006	96	1	4	7.97	-155	-6	0.8	87.4	25.41	27.43
150007	96	1	5	7.98	-155	-2.8	-0.2	78	26.59	27.35
150008	96	1	6	7.97	-155	-4.8	0.6	83.5	25.41	27.26
150009	96	1	7	7.97	-154.99	-5.5	0.5	83.1	25.17	27.2
150010	96	1	8	7.96	-155.01	-7	-3	80.5	26	27.25
150011	96	1	9	7.97	-154.99	-7.5	-3.5	79.3	26.63	27.33
150012	96	1	10	7.97	-154.99	-6.1	-1.3	79.7	26.79	27.42
150013	96	1	11	7.97	-155	-6.8	-1.7	78.7	26.2	27.54
150014	96	1	12	7.97	-154.99	NaN	NaN	NaN	26.75	27.39
150015	96	1	13	7.97	-154.99	-6.5	-2.6	82.2	26.08	27.37
150016	96	1	14	7.97	-155	-6.8	-2.8	79.3	26.83	27.4
150017	96	1	15	7.97	-154.99	-6.3	-4.1	78.4	26.75	27.45
150018	96	1	16	7.97	-154.99	-5.4	-5.9	72.9	26.71	27.45
150019	96	1	17	7.97	-155	-6.2	-0.2	80.1	25.41	27.31
150020	96	1	18	7.97	-154.99	-6.2	-0.6	76.3	26.39	27.36
150021	96	1	19	7.97	-155	-7.6	-3.1	77.1	26.79	27.31
150022	96	1	20	7.97	-155	-8.3	-2.5	83.5	26.43	27.3
150023	96	1	21	7.97	-154.99	-6.9	-1.4	83.9	26.31	27.34
150024	96	1	22	7.97	-154.99	-8.4	-4.6	77.6	26.95	27.35
150025	96	1	23	7.97	-155	-7.5	-5.1	77.6	26.83	27.35
150026	96	1	24	7.97	-154.99	-6.8	-2.8	78.8	26.83	27.41
150027	96	1	25	7.97	-155	-7.4	-0.5	83.5	26.31	27.44
150028	96	1	26	7.98	-154.99	-7.9	0.4	80.5	26.91	27.4
150029	96	1	27	7.97	-155	-5.4	-3	89.1	25.01	27.32
150030	96	1	28	7.98	-155	-5.2	0.6	80.5	26	27.32
150031	96	1	29	7.97	-154.99	-3.9	0.8	81.6	25.21	27.41
150032	96	1	30	7.97	-155	NaN	NaN	NaN	25.33	27.31
150033	96	1	31	7.97	-154.99	-2.4	2	81.4	25.88	27.48
150034	96	2	1	7.98	-155	-2.7	1.3	74.2	26.71	27.6
150035	96	2	2	7.97	-155	-3.4	-3	77.1	26.79	27.6
150036	96	2	3	7.97	-154.99	-5.8	-1.7	80.1	26.63	27.55
150037	96	2	4	7.98	-155	-7.9	-2.2	81.4	26.75	27.58
