Obs	Year	Month	Day	Latitude	Longitude	ZonWinds	MerWinds	Humidity	AirTemp	SSTemp
120001	98	2	5	5.02	-94.9	0.4	-4.2	81.9	28.38	29.19
120002	98	2	6	5.02	-94.9	-0.2	-5.5	81.5	28.46	29.17
120003	98	2	7	5.02	-94.91	-0.5	-4.5	79.5	28.42	29.18
120004	98	2	8	5.02	-94.91	1.3	-6.9	79.5	28.46	29.15
120005	98	2	9	5.02	-94.91	-3.1	-5.8	75.9	28.58	29.03
120006	98	2	10	5.02	-94.91	-2.7	-3.7	78.3	28.46	29.13
120007	98	2	11	5.03	-94.91	-3.9	-3.9	76.3	28.58	29.29
120008	98	2	12	5.02	-94.91	-4.7	-4.3	77.9	28.7	29.44
120009	98	2	13	5.02	-94.9	-3.2	-4.8	77.9	28.66	29.53
120010	98	2	14	5.02	-94.9	-2.9	-4.1	76.7	28.82	29.57
120011	98	2	15	5.03	-94.91	NaN	NaN	NaN	NaN	NaN
120012	98	2	16	5	-95	NaN	NaN	NaN	NaN	NaN
120013	98	2	17	5.03	-94.95	-2.4	-3.3	85.8	28.91	29.77
120014	98	2	18	5.03	-94.95	0.1	-4.7	85	28.87	29.74
120015	98	2	19	5.03	-94.95	-0.1	-7.2	79.9	29.07	29.76
120016	98	2	20	5.03	-94.95	0.6	-6.1	74.4	28.68	29.64
120017	98	2	21	5.03	-94.95	1.4	-5.1	77.5	NaN	NaN
120018	98	2	22	5.03	-94.95	-0.8	-4	83.1	28.8	29.62
120019	98	2	23	5.03	-94.95	-0.2	-3.9	85	28.84	29.65
120020	98	2	24	5.03	-94.95	-2.5	-4.1	86.6	28.8	29.61
120021	98	2	25	5.03	-94.95	-2.8	-0.4	87	28.26	29.64
120022	98	2	26	5.03	-94.95	1.8	-2	87.4	28.11	29.67
120023	98	2	27	5.03	-94.95	0.4	0.7	85	28.45	29.68
120024	98	2	28	5.03	-94.94	-1	-3.5	81.1	28.76	29.75
120025	98	3	1	5.03	-94.95	-0.4	-2.9	85.4	28.34	29.49
120026	98	3	2	5.03	-94.95	-0.6	-4.8	86.2	28.72	29.31
120027	98	3	3	5.03	-94.94	-1.1	-5.5	83.1	29.03	29.35
120028	98	3	4	5.03	-94.95	-1.5	-1.5	84.3	29.03	29.7
120029	98	3	5	5.03	-94.95	-1.4	-1.9	84.3	28.91	30.03
120030	98	3	6	5.03	-94.94	-1.7	-3	83.9	29.29	30.14
120031	98	3	7	5.03	-94.94	-1.4	-5	81.5	29.49	30.13
120032	98	3	8	5.03	-94.95	-0.7	-4.2	81.1	29.52	30.03
120033	98	3	9	5.03	-94.94	1	-0.2	83.9	28.34	29.95
120034	98	3	10	5.03	-94.95	NaN	NaN	NaN	29.22	30.01
120035	98	3	11	5.03	-94.95	NaN	NaN	81.1	29.6	NaN
